tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
4536	2885880	GO:0009536	IC	-	plastid	12520024	Component
4536	2885881	GO:0009536	IC	-	plastid	12520024	Component
4536	2885881	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885882	GO:0009536	IC	-	plastid	12520024	Component
4536	2885883	GO:0009536	IC	-	plastid	12520024	Component
4536	2885884	GO:0009536	IC	-	plastid	12520024	Component
4536	2885885	GO:0009536	IC	-	plastid	12520024	Component
4536	2885886	GO:0009536	IC	-	plastid	12520024	Component
4536	2885886	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885887	GO:0009536	IC	-	plastid	12520024	Component
4536	2885887	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885888	GO:0009536	IC	-	plastid	12520024	Component
4536	2885888	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885889	GO:0009536	IC	-	plastid	12520024	Component
4536	2885891	GO:0009536	IC	-	plastid	12520024	Component
4536	2885892	GO:0009536	IC	-	plastid	12520024	Component
4536	2885892	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885893	GO:0009536	IC	-	plastid	12520024	Component
4536	2885893	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885895	GO:0009536	IC	-	plastid	12520024	Component
4536	2885896	GO:0009536	IC	-	plastid	12520024	Component
4536	2885896	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885897	GO:0009536	IC	-	plastid	12520024	Component
4536	2885898	GO:0005739	RCA	-	mitochondrion	-	Component
4536	2885898	GO:0009536	IC	-	plastid	12520024	Component
4536	2885899	GO:0009536	IC	-	plastid	12520024	Component
4536	2885900	GO:0009536	IC	-	plastid	12520024	Component
4536	2885901	GO:0009536	IC	-	plastid	12520024	Component
4536	2885901	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885902	GO:0009536	IC	-	plastid	12520024	Component
4536	2885902	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885903	GO:0009536	IC	-	plastid	12520024	Component
4536	2885904	GO:0009536	IC	-	plastid	12520024	Component
4536	2885905	GO:0009536	IC	-	plastid	12520024	Component
4536	2885906	GO:0009536	IC	-	plastid	12520024	Component
4536	2885906	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
4536	2885907	GO:0009536	IC	-	plastid	12520024	Component
4536	2885908	GO:0005739	RCA	-	mitochondrion	-	Component
4536	2885908	GO:0009536	IC	-	plastid	12520024	Component
