group_id	tax_id	entrez_id
3	9606	34
3	9913	505968
3	10090	11364
3	10116	24158
3	7955	406283
3	7227	38864
3	6239	173979
3	6239	181758
5	9606	37
5	9913	282130
5	10090	11370
5	10116	25363
5	7955	573723
5	7227	37217
5	6239	174180
6	9606	38
6	9913	511082
6	10090	110446
6	10116	25014
6	7955	445290
6	7227	31695
6	6239	174161
6	6239	187992
6	4932	856079
6	4896	2540616
6	3702	834823
6	3702	834876
6	4530	4346520
7	9606	90
7	9913	338068
7	10090	11477
7	10116	79558
7	7955	30615
7	7227	35731
9	9606	6442
9	9913	541308
9	10090	20391
9	10116	303468
12	9606	158
12	9913	510949
12	10090	11564
12	10116	315150
12	7955	334431
12	7227	42051
12	4932	851073
12	4896	2539985
13	9606	175
13	9913	511345
13	10090	11593
13	10116	290923
13	7955	566517
13	7227	35989
13	7227	37211
13	6239	180550
13	3702	836275
13	4530	4336581
14	9606	183
14	10090	11606
14	10116	24179
14	7955	322485
16	9606	210
16	9913	510679
16	10090	17025
16	10116	25374
16	7955	550338
16	7227	39402
16	4932	852842
16	4896	2542373
16	3702	843310
16	4530	4341997
17	9606	212
17	9913	511791
17	10090	11656
17	10116	25748
17	7955	64607
17	7227	37815
17	4932	851818
17	4896	2542028
20	9606	270
20	9913	512748
20	10090	229665
20	10116	25028
20	7955	393867
26	9606	350
26	9913	281006
26	10090	11818
26	10116	287774
27	9606	355
27	9913	282488
27	10090	14102
27	10116	246097
27	7955	768248
28	9606	367
28	9913	280675
28	10090	11835
28	10116	24208
29	9606	383
29	9913	513608
29	10090	11846
29	10116	29221
29	7955	570368
29	4932	855993
29	4896	2541313
29	4896	2543377
32	9606	435
32	9913	512771
32	10090	109900
32	10116	59085
32	7955	393423
32	7227	3771738
32	4932	856411
32	4896	2539950
32	4896	2539980
32	3702	830959
32	4530	4332596
33	9606	443
33	9913	509432
33	10090	11484
33	10116	79251
33	7955	557232
35	9606	538
35	9913	541275
35	10090	11977
35	10116	24941
35	7955	564924
35	7227	32142
35	6239	176770
35	4932	851862
35	4896	2540525
35	3702	842650
35	4530	4336625
39	9606	594
39	9913	282150
39	10090	12040
39	10116	29711
39	7955	569980
39	7227	3355069
39	6239	172539
39	3702	841998
39	3702	820547
39	4530	4342508
41	9606	675
41	9913	507069
41	10090	12190
41	10116	360254
44	9606	710
44	9913	281035
44	10090	12258
44	10116	295703
44	7955	567801
45	9606	717
45	9913	515440
45	10090	12263
45	10116	24231
45	7955	563828
47	9606	729
47	9913	507749
47	10090	12274
47	10116	24237
47	7955	393611
48	9606	732
48	9913	513217
48	10090	110382
48	10116	313421
48	7955	793127
52	9606	825
52	9913	281663
52	10090	12335
52	10116	29155
52	7955	447832
55	9606	917
55	9913	281055
55	10090	12502
55	10116	300678
56	9606	959
56	9913	282387
56	10090	21947
56	10116	84349
59	9606	1134
59	9913	338070
59	10090	11435
59	10116	79557
59	7955	30725
60	9606	1145
60	9913	281688
60	10090	11448
60	10116	29422
61	9606	1130
61	9913	281072
61	10090	17101
61	10116	85419
61	7955	100150726
62	9606	1161
62	9913	518857
62	10090	71991
62	10116	310071
62	7955	449811
62	4896	2540861
62	3702	838564
62	3702	839677
62	4530	4324761
63	9606	1180
63	9913	514597
63	10090	12723
63	10116	25688
63	7955	567478
63	7955	795133
65	9606	1188
65	9913	538145
65	10090	12733
65	10116	79425
65	7955	393353
69	9606	1278
69	9913	282188
69	10090	12843
69	10116	84352
69	7955	336471
73	9606	1294
73	9913	507133
73	10090	12836
73	10116	301012
73	7955	100332562
74	9606	1311
74	9913	281088
74	10090	12845
74	10116	25304
74	7955	100318854
74	7227	33941
75	9606	1356
75	9913	514194
75	10090	12870
75	10116	24268
75	7955	84702
76	9606	1371
76	9913	540283
76	10090	12892
76	10116	304024
76	7955	321294
76	7227	44701
76	4932	851614
76	4896	2541934
76	3702	839489
76	4530	4336951
77	9606	1376
77	9913	504502
77	10090	12896
77	10116	25413
77	7955	100005717
77	7227	38355
77	6239	178025
77	4932	851285
78	9606	1471
78	9913	281102
78	10090	13010
78	10116	25307
79	9606	1476
79	9913	512805
79	10090	13014
79	10116	25308
79	7955	792225
79	7955	768128
79	7955	573769
80	9606	1535
80	9913	281111
80	10090	13057
80	10116	79129
80	7955	393551
83	9606	1643
83	9913	519357
83	10090	107986
83	10116	100362121
83	7955	100004133
83	3702	835990
83	4530	4325482
84	9606	1738
84	9913	533910
84	10090	13382
84	10116	298942
84	7955	399479
84	7227	39988
84	6239	178387
84	4932	850527
84	4896	2543269
84	3702	841221
84	3702	820984
84	4530	4326980
85	9606	1806
85	9913	281124
85	10090	99586
85	10116	81656
85	7955	405829
85	7227	31858
85	6239	180818
88	9606	1908
88	9913	513753
88	10090	13616
88	10116	366270
89	9606	1910
89	9913	281750
89	10090	13618
89	10116	50672
89	7955	30442
91	9606	2010
91	9913	399681
91	10090	13726
91	10116	25437
92	9606	2022
92	9913	615844
92	10090	13805
92	10116	497010
93	9606	2038
93	9913	281754
93	10090	13828
93	10116	362202
94	9606	2052
94	9913	535293
94	10090	13849
94	10116	25315
94	7955	394043
94	7227	37181
94	6239	179036
95	9606	2057
95	9913	281144
95	10090	13857
95	10116	24336
95	7955	751109
