Organism	Name	Cell Type	Reference	URL	Entrez ID	Function
string	string	string	string	string	string	string
meta	meta	meta	meta	meta	meta	meta
Mouse	CTRB1	Acinar cells	PanglaoDB	https://panglaodb.se/	66473	chymotrypsinogen B1
Mouse	KLK1	Acinar cells	PanglaoDB	https://panglaodb.se/	16612	kallikrein 1
Mouse	RBPJL	Acinar cells	PanglaoDB	https://panglaodb.se/	19668	recombination signal binding protein for immunoglobulin kappa J region-like
Mouse	PTF1A	Acinar cells	PanglaoDB	https://panglaodb.se/	19213	pancreas specific transcription factor, 1a
Mouse	TRY4	Acinar cells	PanglaoDB	https://panglaodb.se/	22074	trypsin 4
Mouse	CELA3A	Acinar cells	PanglaoDB	https://panglaodb.se/	242711	chymotrypsin-like elastase family, member 3A
Mouse	PRSS1	Acinar cells	PanglaoDB	https://panglaodb.se/	114228	protease, serine 1 (trypsin 1)
Mouse	AMY2A2	Acinar cells	PanglaoDB	https://panglaodb.se/	100043688	amylase 2a2
Mouse	SPINK1	Acinar cells	PanglaoDB	https://panglaodb.se/	20730	serine peptidase inhibitor, Kazal type 1
Mouse	ZG16	Acinar cells	PanglaoDB	https://panglaodb.se/	69036	zymogen granule protein 16
Mouse	CEL	Acinar cells	PanglaoDB	https://panglaodb.se/	12613	carboxyl ester lipase
Mouse	CELA2A	Acinar cells	PanglaoDB	https://panglaodb.se/	13706	chymotrypsin-like elastase family, member 2A
Mouse	AMY2A3	Acinar cells	PanglaoDB	https://panglaodb.se/	100043686	amylase 2a3
Mouse	CPB1	Acinar cells	PanglaoDB	https://panglaodb.se/	76703	carboxypeptidase B1 (tissue)
Mouse	CELA1	Acinar cells	PanglaoDB	https://panglaodb.se/	109901	chymotrypsin-like elastase family, member 1
Mouse	AMY2A5	Acinar cells	PanglaoDB	https://panglaodb.se/	109959	amylase 2a5
Mouse	RNASE1	Acinar cells	PanglaoDB	https://panglaodb.se/	19752	ribonuclease, RNase A family, 1 (pancreatic)
Mouse	AMY2B	Acinar cells	PanglaoDB	https://panglaodb.se/	545562	amylase 2b
Mouse	CPA2	Acinar cells	PanglaoDB	https://panglaodb.se/	232680	carboxypeptidase A2, pancreatic
Mouse	CPA1	Acinar cells	PanglaoDB	https://panglaodb.se/	109697	carboxypeptidase A1, pancreatic
Mouse	CELA3B	Acinar cells	PanglaoDB	https://panglaodb.se/	67868	chymotrypsin-like elastase family, member 3B
Mouse	PNLIP	Acinar cells	PanglaoDB	https://panglaodb.se/	69060	pancreatic lipase
Mouse	PLA2G1B	Acinar cells	PanglaoDB	https://panglaodb.se/	18778	phospholipase A2, group IB, pancreas
Mouse	PRSS2	Acinar cells	PanglaoDB	https://panglaodb.se/	22072	protease, serine 2
Mouse	CLPS	Acinar cells	PanglaoDB	https://panglaodb.se/	109791	colipase, pancreatic
