tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
36329	810160	GO:0020002	TAS	located_in	host cell plasma membrane	11420100	Component
36329	810160	GO:0020013	TAS	acts_upstream_of_or_within	modulation by symbiont of host erythrocyte aggregation	9230440	Process
36329	810160	GO:0020030	TAS	located_in	infected host cell surface knob	9291676	Component
36329	810160	GO:0020033	TAS	acts_upstream_of_or_within	antigenic variation	18785843	Process
36329	810160	GO:0020035	TAS	acts_upstream_of_or_within	adhesion of symbiont to microvasculature	11420100	Process
36329	810160	GO:0046789	TAS	enables	host cell surface receptor binding	11316367	Function
36329	810160	GO:0050839	TAS	enables	cell adhesion molecule binding	9786187	Function
36329	810160	GO:0098609	TAS	acts_upstream_of_or_within	cell-cell adhesion	9786187	Process
36329	810161	GO:0020002	IDA	located_in	host cell plasma membrane	10430943	Component
36329	810161	GO:0020003	IDA	located_in	symbiont-containing vacuole	25751816	Component
36329	810161	GO:0020013	IDA	acts_upstream_of_or_within	modulation by symbiont of host erythrocyte aggregation	25751816	Process
36329	810161	GO:0020033	TAS	acts_upstream_of_or_within	antigenic variation	10430943	Process
36329	810161	GO:0020035	IDA	acts_upstream_of_or_within	adhesion of symbiont to microvasculature	25751816	Process
36329	810161	GO:0020036	IDA	located_in	Maurer's cleft	25751816	Component
36329	810162	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810162	GO:0020002	IDA	located_in	host cell plasma membrane	10430943	Component
36329	810162	GO:0020033	TAS	acts_upstream_of_or_within	antigenic variation	10430943	Process
36329	810163	GO:0020002	IDA	located_in	host cell plasma membrane	10430943	Component
36329	810163	GO:0020003	IDA	located_in	symbiont-containing vacuole	25751816	Component
36329	810163	GO:0020013	IDA	acts_upstream_of_or_within	modulation by symbiont of host erythrocyte aggregation	25751816	Process
36329	810163	GO:0020033	TAS	acts_upstream_of_or_within	antigenic variation	10430943	Process
36329	810163	GO:0020035	IDA	acts_upstream_of_or_within	adhesion of symbiont to microvasculature	25751816	Process
36329	810163	GO:0020036	IDA	located_in	Maurer's cleft	25751816	Component
36329	810164	GO:0020002	IDA	located_in	host cell plasma membrane	10430943	Component
36329	810164	GO:0020003	IDA	located_in	symbiont-containing vacuole	25751816	Component
36329	810164	GO:0020013	IDA	acts_upstream_of_or_within	modulation by symbiont of host erythrocyte aggregation	25751816	Process
36329	810164	GO:0020033	TAS	acts_upstream_of_or_within	antigenic variation	10430943	Process
36329	810164	GO:0020035	IDA	acts_upstream_of_or_within	adhesion of symbiont to microvasculature	25751816	Process
36329	810164	GO:0020036	IDA	located_in	Maurer's cleft	25751816	Component
36329	810165	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810165	GO:0020002	IDA	located_in	host cell plasma membrane	10430943	Component
36329	810165	GO:0020033	IEP	acts_upstream_of_or_within	antigenic variation	10430943	Process
